"samples_per_group","local","test","loci","n_loci","median_df_paper","alpha","false_positives","rate","rate_over_alpha"
2,"disp_meth","t_df_paper","meth_10_90",38024,3.55525012641905,0.001,11,0.000289290974121607,0.289290974121607
2,"disp_meth","t_df_paper","overdispersed",19891,3.55525012641905,0.05,350,0.0175958976421497,0.351917952842994
2,"disp_meth","t_df_paper","overdispersed",19891,3.55525012641905,0.01,32,0.00160876778442512,0.160876778442512
2,"disp_meth","t_df_paper","overdispersed",19891,3.55525012641905,0.001,10,0.000502739932632849,0.502739932632849
2,"disp_meth","t_df_code","all",51730,3.55525012641905,0.05,1152,0.0222694761260391,0.445389522520781
2,"disp_meth","t_df_code","all",51730,3.55525012641905,0.01,102,0.00197177653199304,0.197177653199304
2,"disp_meth","t_df_code","all",51730,3.55525012641905,0.001,13,0.00025130485211676,0.25130485211676
2,"disp_meth","t_df_code","meth_10_90",38024,3.55525012641905,0.05,969,0.0254839049021671,0.509678098043341
2,"disp_meth","t_df_code","meth_10_90",38024,3.55525012641905,0.01,92,0.00241952451083526,0.241952451083526
2,"disp_meth","t_df_code","meth_10_90",38024,3.55525012641905,0.001,13,0.000341889333052809,0.341889333052809
2,"disp_meth","t_df_code","overdispersed",19891,3.55525012641905,0.05,740,0.0372027550148308,0.744055100296616
2,"disp_meth","t_df_code","overdispersed",19891,3.55525012641905,0.01,82,0.00412246744758936,0.412246744758936
2,"disp_meth","t_df_code","overdispersed",19891,3.55525012641905,0.001,11,0.000553013925896134,0.553013925896134
2,"disp_meth","chisq","all",51730,3.55525012641905,0.05,3406,0.0658418712545911,1.31683742509182
2,"disp_meth","chisq","all",51730,3.55525012641905,0.01,1019,0.0196984341774599,1.96984341774599
2,"disp_meth","chisq","all",51730,3.55525012641905,0.001,270,0.0052194084670404,5.2194084670404
2,"disp_meth","chisq","meth_10_90",38024,3.55525012641905,0.05,2860,0.0752156532716179,1.50431306543236
2,"disp_meth","chisq","meth_10_90",38024,3.55525012641905,0.01,906,0.0238270565958342,2.38270565958342
2,"disp_meth","chisq","meth_10_90",38024,3.55525012641905,0.001,251,0.00660109404586577,6.60109404586577
2,"disp_meth","chisq","overdispersed",19891,3.55525012641905,0.05,1921,0.0965763410587703,1.93152682117541
2,"disp_meth","chisq","overdispersed",19891,3.55525012641905,0.01,693,0.0348398773314564,3.48398773314564
2,"disp_meth","chisq","overdispersed",19891,3.55525012641905,0.001,229,0.0115127444572922,11.5127444572922
3,"none","t_df_paper","all",59645,4,0.05,651,0.0109145779193562,0.218291558387124
3,"none","t_df_paper","all",59645,4,0.01,31,0.000519741805683628,0.0519741805683628
3,"none","t_df_paper","all",59645,4,0.001,1,1.67658646994719e-05,0.0167658646994719
3,"none","t_df_paper","meth_10_90",43891,4,0.05,603,0.0137385796632567,0.274771593265134
3,"none","t_df_paper","meth_10_90",43891,4,0.01,30,0.000683511426032672,0.0683511426032672
3,"none","t_df_paper","meth_10_90",43891,4,0.001,1,2.27837142010891e-05,0.0227837142010891
3,"none","t_df_paper","overdispersed",22400,4,0.05,514,0.0229464285714286,0.458928571428571
3,"none","t_df_paper","overdispersed",22400,4,0.01,31,0.00138392857142857,0.138392857142857
3,"none","t_df_paper","overdispersed",22400,4,0.001,1,4.46428571428571e-05,0.0446428571428571
3,"none","t_df_code","all",59645,4,0.05,1431,0.0239919523849443,0.479839047698885
3,"none","t_df_code","all",59645,4,0.01,115,0.00192807444043927,0.192807444043927
3,"none","t_df_code","all",59645,4,0.001,7,0.000117361052896303,0.117361052896303
3,"none","t_df_code","meth_10_90",43891,4,0.05,1302,0.029664395889818,0.593287917796359
3,"none","t_df_code","meth_10_90",43891,4,0.01,111,0.00252899227632089,0.252899227632089
3,"none","t_df_code","meth_10_90",43891,4,0.001,7,0.000159485999407623,0.159485999407623
3,"none","t_df_code","overdispersed",22400,4,0.05,1020,0.0455357142857143,0.910714285714286
3,"none","t_df_code","overdispersed",22400,4,0.01,112,0.005,0.5
3,"none","t_df_code","overdispersed",22400,4,0.001,7,0.0003125,0.3125
